sample_rate,waveform,frequency,peak,rms,dc,residual_fraction
44100,0,107.666,0.995117,0.575377,-2.91038e-11,0.387919
44100,0,441.431,0.97998,0.569261,-7.27596e-11,0.375084
44100,0,3999.79,0.826829,0.504149,4.36557e-11,0.244834
44100,0,7999.58,0.670112,0.431238,8.73115e-11,0.124553
44100,1,107.666,0.706991,0.705378,0,0.185751
44100,1,441.431,0.706991,0.700355,0,0.174541
44100,1,3999.79,0.706991,0.644369,0,0.0757761
44100,1,7999.58,0.706991,0.574968,0,0.0153893
44100,2,107.666,0.978508,0.570934,0,0.0147869
44100,2,441.431,0.974929,0.572949,0,0.014725
44100,2,3999.79,0.935116,0.587866,0,0.0109185
44100,2,7999.58,0.885855,0.591058,0,0.00475057
44100,3,107.666,0.999987,0.707097,3.27956e-11,1.60982e-14
44100,3,441.431,0.999987,0.707097,1.01166e-11,2.35367e-14
44100,3,3999.79,0.999987,0.707097,4.14409e-10,1.4877e-14
44100,3,7999.58,0.999987,0.707097,1.01166e-11,1.92069e-14
48000,0,111.328,0.995361,0.575476,-1.45519e-11,0.388127
48000,0,439.453,0.981756,0.569951,3.63798e-11,0.37653
48000,0,4001.95,0.840203,0.510051,3.63798e-11,0.255963
48000,0,7998.05,0.694512,0.443086,-3.63798e-11,0.141621
48000,1,111.328,0.70699,0.705458,0,0.185935
48000,1,439.453,0.70699,0.700923,0,0.175792
48000,1,4001.95,0.70699,0.64965,0,0.0830426
48000,1,7998.05,0.70699,0.586829,0,0.0215961
48000,2,111.328,0.978569,0.5709,0,0.0147873
48000,2,439.453,0.975337,0.572726,0,0.0147357
48000,2,4001.95,0.938813,0.586992,0,0.0114074
48000,2,7998.05,0.89439,0.591489,0,0.00567477
48000,3,111.328,0.999986,0.707097,4.14459e-10,2.32037e-14
48000,3,439.453,0.999986,0.707097,4.14459e-10,1.9873e-14
48000,3,4001.95,0.999986,0.707097,4.14459e-10,2.14273e-14
48000,3,7998.05,0.999986,0.707097,4.14459e-10,2.73115e-14
96000,0,105.469,0.997803,0.576462,0,0.390203
96000,0,445.312,0.990723,0.573601,-2.91038e-11,0.384187
96000,0,3996.09,0.91848,0.543726,0,0.322333
96000,0,8003.91,0.840203,0.510051,3.63798e-11,0.255963
96000,1,105.469,0.70698,0.706255,0,0.187771
96000,1,445.312,0.70698,0.703912,0,0.182466
96000,1,3996.09,0.70698,0.678958,0,0.13111
96000,1,8003.91,0.70698,0.64964,0,0.0830426
96000,2,105.469,0.979122,0.570556,0,0.0147898
96000,2,445.312,0.97746,0.571521,0,0.0147767
96000,2,3996.09,0.959678,0.580193,0,0.0137756
96000,2,8003.91,0.938799,0.586984,0,0.0114074
96000,3,105.469,0.999971,0.707087,4.14409e-10,1.94289e-14
96000,3,445.312,0.999971,0.707087,1.01163e-11,2.35367e-14
96000,3,3996.09,0.999971,0.707087,4.14409e-10,1.93179e-14
96000,3,8003.91,0.999971,0.707087,4.14409e-10,2.4869e-14
